SerialSeq,Serial,Surname,FirstName,MiddleInitMostly,Suffix,RankRole,Unit2011,UnitDesc,UnitMap,Unit2014,Unit2016,Unit2019,Name,Unit2020,MiddleName
5412,5412,Bachler,Scott,J,,Police Lieutenant,C360,Education & Training Section,,,,,,,
5412,5412,Bachler,Scott,J,,Police Lieutenant,,Forensics Section - Management,,,,,"Bachler, Scott J",B760A,J
5413,5413,Mangialardi,Frank,M,,Parking Enfor Officer,,Parking Enforcement - P,10 Squad,,B637J,,,,
5413,5413,Mangialardi,Frank,M,,Parking Enfor Officer,,Parking Enforcement - P,10 Squad,,,B637J,,,
5413,5413,Mangialardi,Frank,M,,Parking Enfor Officer,,Parking Enforcement - P,8 Squad,C637H,,,,,
5413,5413,Mangialardi,Frank,M,,Parking Enfor Officer,B641D,Parking Enforcement, P4 Squad,,,,,,
5413,5413,Mangialardi,Frank,M,,Parking Enfor Officer,,Parking Enforcement - P10 Squad,,,,,"Mangialardi, Frank M",B637J,M
5414,5414,Herron,Michael,G,,Parking Enfor Officer,,Parking Enforcement - P,7 Squad,,B637G,,,,
5414,5414,Herron,Michael,G,,Parking Enfor Officer,,Parking Enforcement - P,4 Squad,C637D,,,,,
5414,5414,Herron,Michael,G,,Parking Enfor Officer,B641H,Parking Enforcement, P8 Squad,,,,,,
5416,5416,Hoyt,Jan,R,,Police Communications Analyst,,Comm - Admin And Operations Sup,,,C310A,,,,
5416,5416,Hoyt,Jan,R,,Police Communications Analyst,,Comm - Admin And Operations Sup,,C310A,,,,,
5416,5416,Hoyt,Jan,R,,Police Communications Analyst,C310A,Communications Admin Unit,,,,,,,
5421,5421,Tanaka,Noreen,K,,Admin Specialist Ii,,Forensics Section - Administration,,,,B760Y,,,
5421,5421,Tanaka,Noreen,K,,Admin Specialist Ii,,West Pct - Administration,,,B110Y,,,,
5421,5421,Tanaka,Noreen,K,,Admin Specialist Ii,,West Pct - Administration,,B110Y,,,,,
5421,5421,Tanaka,Noreen,K,,Admin Specialist li,B110Y,West Pct, Administration,,,,,,
5421,5421,Tanaka,Noreen,K,,Admin Specialist Ii,,Forensics Section - Administration,,,,,"Tanaka, Noreen K",B760Y,K
5423,5423,Grayson,Denise,L,,Admin Specialist Ii,,Criminal History - Day Shift,,,,C522A,,,
5423,5423,Grayson,Denise,L,,Admin Specialist Ii,,Criminal History - Day Shift,,,C522A,,,,
5423,5423,Grayson,Denise,L,,Admin Specialist Ii,,Human Resources - Dept Unavail P,,C320X,,,,,
5423,5423,Grayson,Denise,L,,Admin Specialist I,C514B,Criminal History, Swing Shift,,,,,,
5423,5423,Grayson,Denise,L,,Admin Specialist Ii,,Criminal History - Day Shift,,,,,"Grayson, Denise L",C522A,L
5425,5425,Elliott,Joseph,D,,Police Officer,,Traf - Motorcycle Unit - T,3 Squad,,B632C,,,,
5425,5425,Elliott,Joseph,D,,Police Officer,,Traf - Motorcycle Unit - T,3 Squad,,,B632C,,,
5425,5425,Elliott,Joseph,D,,Police Officer,,Motorcycle Unit - T,3 Squad,C632C,,,,,
5425,5425,Elliott,Joseph,D,,Police Officer,B631 E,Aggressive Driving Squad,,,,,,,
5425,5425,Elliott,Joseph,D,,Police Officer,,Traf - Photo Enforcement Detail,,,,,"Elliott, Joseph D",B631R,D
5426,5426,Johnson,James,P,,Police Officer,,Harbor - Squad D,,,B625D,,,,
5426,5426,Johnson,James,P,,Police Officer,,Harbor - Squad D,,C625D,,,,,
5426,5426,Johnson,James,P,,Police Officer,B625D,Harbor, Squad D,,,,,,
5427,5427,Kolarsick,Kathy,J,,Mgmt Systems Analyst Spvsr,,Data Driven Analysts,,,,C040A,,,
5427,5427,Kolarsick,Kathy,J,,"Mgmt Systems Analyst, Sr",,Systems Sustainment,,,C371S,,,,
5427,5427,Kolarsick,Kathy,J,,"Mgmt Systems Analyst, Sr",,Comm - Sustainment,,C310S,,,,,
5427,5427,Kolarsick,Kathy,J,,"Mgmt Systems Analyst, Sr    �C300S",Sustainment,,,,,,,,
5427,5427,Kolarsick,Kathy,J,,Mgmt Systems Analyst Spvsr,,Data Driven Analysts,,,,,"Kolarsick, Kathy J",C040A,J
5428,5428,Miller,Rebecca,,,Police Officer,,Comm - Internet And Telephone Rep,,,,C312R,,,
5428,5428,Miller,Rebecca,P,,olice Officer,,West Pct,3Rd W - K/Q Relief,,B113T,,,,
5428,5428,Miller,Rebecca,P,,olice Officer,,West Pct,3Rd W - T/Relief Squad,B113T,,,,,
5428,5428,Miller,Rebecca,,,Police Officer,B112D,West Pct 2Nd W, David,,,,,,
5428,5428,Miller,Rebecca,,,Police Officer,,Comm - Internet And Telephone Repo~,,,,,"Miller, Rebecca",C312R,
5429,5429,Aana,Leialoha,M,,Police Comm Dispatcher I,,Comm -,1St W,,C312A,,,,
5429,5429,Aana,Leialoha,M,,Police Comm Dispatcher I,,Comm -,1St W,C312A,,,,,
5429,5429,Aana,Leialoha,M,,Police Comm Dispatcher I,C312A,Comm 1St W,,,,,,,
5430,5430,Ballew,Brian,T,,Police Officer Detective,,Burg/Theft/Juv - Southwest Squad,,,B754O,,,,
5430,5430,Ballew,Brian,T,,Police Officer Detective,,Southwest Pct Ops - Burg/Theft,,B259D,,,,,
5430,5430,Bellew,Brian,T,,Police Officer Detective,B259D,Southwest Pct Ops, Burg/Theft,,,,,,
5432,5432,Cordner,Lesley,,,Assitant Chief Of Police,,Professional Standards Bureau,,,,C100,,,
5432,5432,Cordner,Lesley,A,,ssistant Chief Of Police,,Compliance And Professional Stand,,,C100,,,,
5432,5432,Cordner,Lesley,P,,olice Lieutenant,,North Pct Ops,,B129,,,,,
5432,5432,Cordner,Janet,L,,.Police Sergeant,B631T,Traffic Collision Investigation,,,,,,,
5432,5432,Cordner,Lesley,,,Assistant Chief Of Police,,Professional Standards Bureau,,,,,"Cordner, Lesley",C100,
5433,5433,Trinh,Jung,B,,Police Sergeant,,Southwest Pct,3Rd W - William,,B253W,,,,
5433,5433,Trinh,Jung,B,,Police Lieutenant,,East Pct,3Rd W,,,B243,,,
5433,5433,Trinh,Jung,B,,Police Sergeant,,Southwest Pct,3Rd W - William,B253W,,,,,
5433,5433,Trinh,Jung,B,,Police Officer,B623C,Canine Unit,,,,,,,
5433,5433,Trinh,Jung,B,,Police Lieutenant,,East Pct 3Rd W,,,,,"Trinh, Jung B",B243,B
5434,5434,Wong,Susan,J,,Police Officer,,Traf - Am Enforcement,,,,B631A,,,
5434,5434,Wong,Susan,J,,Police Officer,,Traf - Am Enforcement,,,B631A,,,,
5434,5434,Wong,Susan,J,,Police Officer,,Am Enforcement,,C631A,,,,,
5434,5434,Wong,Susan,J,,Police Officer,B630,,,,,,,,
5434,5434,Wong,Susan,J,,Police Officer,,Executive Protection Detail,,,,,"Wong, Susan J",A312S,J
5435,5435,Clement,David,G,,Acting Police Officer Detective,,Intell - Organized Crime Squad,,,,B771A,,,
5435,5435,Clement,David,G,,Police Officer Detective,,Intell - Cyber Crimes And Rtcc,,,B775,,,,
5435,5435,Clement,David,G,,Police Officer,,Intell - Technical Assistance,,C753,,,,,
5435,5435,Clement,David,G,,Police Officer,B712R,Robbery Squad,,,,,,,
5435,5435,Clement,David,G,,Acting Police Officer Detective,,Intell - Rtcc Detail,,,,,"Clement, David G",B713B,G
5436,5436,Barnes,Jeffrey,S,,Police Officer,,Southwest Pct,2Nd W - William,,B252W,,,,
5436,5436,Barnes,Jeffrey,S,,Police Officer,,Southwest Pct,2Nd W - William,,,B252W,,,
5436,5436,Barnes,Jeffrey,S,,Police Officer,,Southwest Pct,2Nd W - William,B252W,,,,,
5436,5436,Barnes,Jeffrey,S,,Police Officer,B251W,Southwest Pct 1St W, William,,,,,,
5436,5436,Barnes,Jeffrey,S,,Police Officer,,Southwest Pct 2Nd W - William,,,,,"Barnes, Jeffrey S",B252W,S
5438,5438,Burns,Thomas,J,,Police Officer,,West Pct,2Nd W - David Beats,,B112A,,,,
5438,5438,Burns,Thomas,J,,Police Officer,,Southwest Pct,2Nd W - Southwest,,,B252A,,,
5438,5438,Burns,Thomas,J,,Police Officer,,West Pct,2Nd W - David Beats,B112A,,,,,
5438,5438,Burns,Thomas,J,,Police Officer,B112C,West Pct 2Nd W Mary Beats,,,,,,,
5438,5438,Burns,Thomas,J,,Police Officer,,Hr - Department Unavailable Person~,,,,,"Burns, Thomas J",A810X,J
5439,5439,Butler,Carol,M,,Admin Specialist Ii,,Opa - Internal Investigations Intake,,,A112Y,,,,
5439,5439,Butler,Carol,M,,Admin Specialist Ii,,Community Outreach - Administrati,,C380Y,,,,,
5439,5439,Butler,Carol,M,,Admin Specialist I,B722,Sexual Assault And Child Abuse U,,,,,,,
5441,5441,Roberts,Robin,F,,Police Officer,,West Pct,2Nd W - V/Relief Squad,B112V,,,,,
5441,5441,Roberts,Robin,F,,Police Officer,B112M,West Pct 2Nd W, Mary,,,,,,
5442,5442,Stevenson,Anthony,J,,Police Officer Detective,,Sau - Sex Offender Detail,,,,B722C,,,
5442,5442,Stevenson,Anthony,J,,Police Officer Detective,,Sau - Sex Offender Detail,,,B722C,,,,
5442,5442,Stevenson,Anthony,J,,Police Officer Detective,,Sex Offender Detail,,B722C,,,,,
5442,5442,Stevenson,Anthony,J,,Police Officer Detective,B722C,,,,,,,,
5442,5442,Stevenson,Anthony,J,,Police Officer Detective,,Sau - Sex Offender Detail,,,,,"Stevenson, Anthony J",B722C,J
5443,5443,Monroe,Thoms,R,,Police Officer,,Harbor - Squad D,,,,B625D,,,
5443,5443,Monroe,Thoms,R,,Police Officer,,Harbor - Squad D,,,B625D,,,,
5443,5443,Monroe,Thoms,R,,Police Officer,,Harbor - Squad D,,C625D,,,,,
5443,5443,Monroe,Thorns,R,,Police Officer,B625D,Harbor, Squad D,,,,,,
5443,5443,Monroe,Thoms,R,,Police Officer,,Harbor - Squad D,,,,,"Monroe, Thoms R",B625D,R
5444,5444,Arbogast,Autumn,L,,Police Officer,,West Pct Ops - Stationmaster,,,,B119S,,,
5444,5444,Arbogast,Autumn,L,,Police Officer,,West Pct,2Nd W - Queen,,B112Q,,,,
5444,5444,Arbogast,Autumn,L,,Police Officer,,West Pct,2Nd W - Mary,B112M,,,,,
5444,5444,Arbogast,Autumn,L,,Police Officer,C503A,S Fleet Control,,,,,,,
5444,5444,Arbogast,Autumn,L,,Police Officer,,Hr - Department Unavailable Person~,,,,,"Arbogast, Autumn L",A810X,L
5445,5445,Traver,Gregory,L,,Police Sergeant,,East Pct,3Rd W - George,,B243G,,,,
5445,5445,Traver,Gregory,L,,Police Sergeant,,East Pct,2Nd W - E/G Relief,,,B242T,,,
5445,5445,Traver,Gregory,L,,Police Officer,,Southwest Pct,2Nd W - William,B252W,,,,,
5445,5445,Traver,,Gregory L,,Police Officer,B252W,Southwest Pct 2Nd W, William,,,,,,
5445,5445,Traver,Gregory,L,,Police Sergeant,,East Pct 2Nd W - E/G Relief,,,,,"Traver, Gregory L",B242T,L
5447,5447,Lau,Irene,,,Police Officer Detective,6711F,Polygraph Detail,,,,,,,
5449,5449,Hunter,Gregory,W,,Police Officer,,Comm - Alternative Call Handling,,,C312R,,,,
5449,5449,Hunter,Gregory,W,,Police Officer,,West Pct,2Nd W - V/Relief Squad,B112V,,,,,
5449,5449,Hunter,Gregory,W,,Police Officer,13111M,West Pct 1St W, Mary,,,,,,
5450,5450,Harner,Marshall,T,,Police Officer,,North Pct,1St W - Nora,B121N,,,,,
5450,5450,Hamer,Marshall,T,,Police Officer,B129S,North Pct Ops, Stationmaster,,,,,,
5452,5452,Myers,Christopher,S,,Police Officer,,Harbor - Squad A,,,,B625A,,,
5452,5452,Myers,Christopher,S,,Police Officer,,West Pct,3Rd W - K/Q Relief,,B113T,,,,
5452,5452,Myers,Christopher,S,,Police Officer,,West Pct,3Rd W - T/Relief Squad,B113T,,,,,
5452,5452,Myers,Christopher,S,,Police Officer,B113K,West Pct 3Rd W, King,,,,,,
5452,5452,Myers,Christopher,S,,Police Officer,,Harbor - Squad A,,,,,"Myers, Christopher S",B625A,S
5453,5453,Jokela,Randall,A,,Police Officer,,West Pct,2Nd W - David Beats,,B112A,,,,
5453,5453,Jokela,Randall,A,,Police Officer,,West Pct,2Nd W - David Beats,,,B112A,,,
5453,5453,Jokela,Randall,A,,Police Officer,,West Pct,2Nd W - David Beats,B112A,,,,,
5453,5453,Jokela,Randall,A,,Police Officer,B112A,West Pct 2Nd W, David Beats,,,,,,
5453,5453,Jokela,Randall,A,,Police Officer,,West Pct 2Nd W - David Beats,,,,,"Jokela, Randall A",B112A,A
5455,5455,Caylor,Gregg,A,,Police Captain,,Force Investigations Section,,,,C170,,,
5455,5455,Caylor,Gregg,A,,Police Captain,,Force Review Section,,,C180,,,,
5455,5455,Caylor,Gregg,A,,Acting Police Captain,,Force Review,,A580,,,,,
5455,5455,Caylor,Gregg,A,,Police Lieutenant,B752,Special Assignments Unit,,,,,,,
5455,5455,Caylor,Gregg,A,,Police Captain,,Force Investigations Section,,,,,"Caylor, Gregg A",C170,A
5457,5457,Mcnally,Carrie,A,,Police Officer Detective,,Hr - Recruitment,,,,A810D,,,
5457,5457,Mcnally,Carrie,A,,Police Officer Detective,,Hr - Recruitment,,,C021D,,,,
5457,5457,Mcnally,Carrie,A,,Police Officer Detective,,Cop - Special Assignment,,A000S,,,,,
5457,5457,Mcnally,Carrie,A,,Police Officer Detective,C111A,Audit Detail,,,,,,,
5457,5457,Mcnally,Carrie,A,,Police Officer Detective,,Hr - Recruitment,,,,,"Mcnally, Carrie A",A810D,A
5458,5458,Dermody,James,J,,Police Captain,,Special Victim Crimes Section,,,,B720,,,
5458,5458,Dermody,James,J,,Police Captain,,Data Driven Policing Section,,,C370,,,,
5458,5458,Dermody,James,J,,Police Captain,,Narcotics Section,,B730,,,,,
5458,5458,Dermody,James,J,,Police Captain,B240,East Pct,,,,,,,
5458,5458,Dermody,James,J,,Police Captain,,Homeland Security Section,,,,,"Dermody, James J",B510,J
5461,5461,Villa,Maria,Celina,,Executive Assistant,,Hls - Special Ops Bureau - Adminis,,,,B600Y,,,
5461,5461,Villa,Maria,C,,elina Admin Staff Assistant,,Compliance And Professional Stand,,,C100Y,,,,
5461,5461,Villa,Maria,C,,elina Admin Staff Assistant,,Compliance And Prof Stndrds Burea,,A500Y,,,,,
5461,5461,Villa,Maria,Celina,,Admin Specialist li,B610Y,Homeland Security Section, Admii,,,,,,
5461,5461,Villa,Maria,C,,Executive Assistant,,Special Ops Bureau - Administratio~,,,,,"Villa, Maria Celina",B600Y,Celina
5464,5464,Hayes,David,M,,Police Officer,,Hr - Department Unavailable Person,,,,A810X,,,
5464,5464,Hayes,David,M,,Police Officer,,West Pct Ops - Sea Ctr,,,B119I,,,,
5464,5464,Hayes,David,M,,Police Officer,,West Pct Ops - Sea Ctr,,B119I,,,,,
5464,5464,Hayes,David,M,,Police Officer,B119l,West Pct Ops, Sea Ctr,,,,,,
5465,5465,Mullens,Mark,M,,Police Officer,,South Pct,2Nd W - Robert,,B232R,,,,
5465,5465,Mullens,Mark,M,,Police Officer,,South Pct,2Nd W - Sam,,,B232S,,,
5465,5465,Mullens,Mark,M,,Police Officer,,South Pct,2Nd W - Robert,B232R,,,,,
5465,5465,Mullens,Mark�M,,,Police Officer,6232R,South Pct 2Nd W, Robert,,,,,,
5465,5465,Mullens,Mark,M,,Police Officer,,South Pct 2Nd W - Sam,,,,,"Mullens, Mark M",B232S,M
5466,5466,Heffernan,Kevin,S,,Police Officer,,Canine - Day Squad,,,,B623A,,,
5466,5466,Heffernan,Kevin,S,,Police Officer,,Canine Squad,,,B623C,,,,
5466,5466,Heffernan,Kevin,S,,Police Officer,,Canine Squad,,C623C,,,,,
5466,5466,Heffernan,Kevin,S,,Police Officer,B623C,Canine Unit,,,,,,,
5466,5466,Heffernan,Kevin,S,,Police Officer,,Canine - Squad A,,,,,"Heffernan, Kevin S",B623A,S
5467,5467,Bernal,Gilbert,A,,Police Officer,,Comm - Internet And Telephone Rep,,,,C312R,,,
5467,5467,Bernal,Gilbert,A,,Police Officer,,Comm - Alternative Call Handling,,,C312R,,,,
5467,5467,Bernal,Gilbert,A,,Police Officer,,Comm - Alternative Call Handling,,C312R,,,,,
5467,5467,Bernal,Gilbert,A,,Police Officer,C312R,Tru, Telephone Reporting,,,,,,
5467,5467,Bernal,Gilbert,A,,Police Officer,,Comm - Internet And Telephone Repo~,,,,,"Bernal, Gilbert A",C312R,A
5469,5469,Downing,Brian,C,,Police Sergeant,,South Pct,2Nd W - Robert,,B232R,,,,
5469,5469,Downing,Brian,C,,Police Lieutenant,,Southwest Pct,2Nd W,,,B252,,,
5469,5469,Downing,Brian,C,,Police Sergeant,,South Pct,2Nd W - Robert,B232R,,,,,
5469,5469,Downing,Brian,C,,Police Officer,B623C,Canine Unit,,,,,,,
5469,5469,Downing,Brian,C,,Police Lieutenant,,Southwest Pct 2Nd W,,,,,"Downing, Brian C",B252,C
5472,5472,Sabay,Roberto,V,,Police Officer,,Southwest Pct Ops - Cpt,,,,B259C,,,
5472,5472,Sabay,Roberto,V,,Police Officer,,Southwest Pct,3Rd W - F/W Relief,,B253T,,,,
5472,5472,Sabay,Roberto,V,,Police Officer,,Southwest Pct,3Rd W - T/Relief Sq,B253T,,,,,
5472,5472,Sabay,Roberto,V,,Police Officer,B253F,Southwest Pct 3Rd W, Frank,,,,,,
5472,5472,Sabay,Roberto,V,,Police Officer,,Southwest Pct 3Rd W - F/W Relief,,,,,"Sabay, Roberto V",B253T,V
5473,5473,Wyatt,Bruce,Andrew,,Equipment & Facilities Coordinator,,Hr - Department Unavailable Person,,,,A810X,,,
5473,5473,Wyatt,Bruce,A,,ndrew Equipment & Facilities Coordinator,,Southwest Pct Ops - Stationmaster,,,B259S,,,,
5473,5473,Wyatt,Bruce,A,,ndrew Equipment & Facilities Coordinator,,Southwest Pct Ops - Stationmaster,,B259S,,,,,
5473,5473,Wyatt,Bruce,Andrew,,Equipment & Facilities Coordinator,B259S,,,,,,,,
5473,5473,Wyatt,Bruce,A,,Equipment & Facilities Coordinator,,Southwest Pct Ops - Stationmaster,,,,,"Wyatt, Bruce Andrew",B259S,Andrew
5474,5474,Mccammon,Pamela,K,,Police Officer Detective,,Dv Squad A - Investigations,,,,B721A,,,
5474,5474,Mccammon,Pamela,K,,Police Officer Detective,,Dv Squad A - Investigations,,,B721A,,,,
5474,5474,Mccammon,Pamela,K,,Police Officer Detective,,Dv Squad A - Investigations,,B721A,,,,,
5474,5474,Mccammon,Pamela,K,,Police Officer Detective,B721B,Dv Squad B, Special Units,,,,,,
5474,5474,Mccammon,Pamela,K,,Police Officer Detective,,Dv Squad A - Investigations,,,,,"Mccammon, Pamela K",B721A,K
5476,5476,Jackson,Garry,D,,Acting Police Officer Detective,,Forensics - Crime Scene Investigati,,,,B765,,,
5476,5476,Jackson,Garry,D,,Acting Police Officer Detective,,Homicide - Csi Squad,,,B711D,,,,
5476,5476,Jackson,Garry,D,,Acting Police Officer Detective,,Csi Squad,,B711D,,,,,
5476,5476,Jackson,Garry,D,,Police Officer Detective,B741A,Icac Investigations,,,,,,,
5476,5476,Jackson,Garry,D,,Acting Police Officer Detective,,Forensics - Crime Scene Investigat~,,,,,"Jackson, Garry D",B765,D
5477,5477,Dupleich,Eric,R,,Police Officer,,Canine - Day Squad,,,,B623A,,,
5477,5477,Dupleich,Eric,R,,Police Officer,,Canine Squad,,,B623C,,,,
5477,5477,Dupleich,Eric,R,,Police Officer,,General Investigations - Administrat,,B732B,,,,,
5477,5477,Dupleich,Eric,R,,Police Officer,B623C,Canine Unit,,,,,,,
5477,5477,Dupleich,Eric,R,,Police Officer,,Canine - Squad A,,,,,"Dupleich, Eric R",B623A,R
5481,5481,Worstman,Mark,L,,Police Sergeant,,Homicide Squad B,,,,B711B,,,
5481,5481,Worstman,Mark,L,,Police Sergeant,,Homicide Squad B,,,B711B,,,,
5481,5481,Worstman,Mark,L,,Police Sergeant,,Homicide Squad B,,B711B,,,,,
5481,5481,Worstman,Mark,L,,Police Sergeant,B711B,,,,,,,,
5481,5481,Worstman,Mark,L,,Police Sergeant,,Homicide Squad B,,,,,"Worstman, Mark L",B711B,L
5482,5482,Curtis,Randall,S,,Police Officer Detective,,Narc - Abatement/Forfeiture Squad,,,B732A,,,,
5482,5482,Curtis,Randall,S,,Police Officer Detective,,Dv Squad B - Special Units,,B721B,,,,,
5482,5482,Curtis,Randall,S,,Police Officer Detective,B613A,Arson/Bomb, Squad A,,,,,,
5484,5484,White,Robert,E,,Police Officer,,Traf - Am Enforcement,,,B631A,,,,
5484,5484,White,Robert,E,,Police Officer,,Motorcycle Unit - T,4 Squad,C632D,,,,,
5484,5484,White,Robert,E,,Police Officer,B632D,Motorcycle Unit, T4 Squad,,,,,,
5487,5487,Ross,Laurie,J,,Acting Police Officer Detective,,Hr - Background Investigations,,,,A810B,,,
5487,5487,Ross,Laurie,J,,Acting Police Officer Detective,,Hr - Background Investigations,,,C021B,,,,
5487,5487,Ross,Laurie,J,,Acting Police Officer Detective,,Background Investigations,,C321B,,,,,
5487,5487,Ross,Laurie,J,,Police Officer,B122J,North Pct 2Nd W, John,,,,,,
5487,5487,Ross,Laurie,J,,Acting Police Officer Detective,,Hr - Background Investigations,,,,,"Ross, Laurie J",A810B,J
5489,5489,Smith,Bretton,F,,Police Officer,,North Pct,3Rd W - B/N Relief,,B123V,,,,
5489,5489,Smith,Bretton,F,,Police Officer,,North Pct,3Rd W - B/N Relief,,,B123V,,,
5489,5489,Smith,Bretton,F,,Police Officer Detective,,Hidta Task Force - C,,B739C,,,,,
5489,5489,Smith,Bretton,F,,Police Officer Detective,B731A,Proactive Squad A,,,,,,,
5489,5489,Smith,Bretton,F,,Acting Police Sergeant,,North Pct 3Rd W - B/N Relief,,,,,"Smith, Bretton F",B123V,F
5490,5490,Welte,Martin,J,,Acting Police Sergeant,,Community Outreach - Outreach Sq,,,,A311A,,,
5490,5490,Welte,Martin,J,,Police Officer,,Community Outreach - Special Proj,,,B051P,,,,
5490,5490,Welte,Martin,J,,Police Officer,,Community Outreach - Special Proj,,C381P,,,,,
5490,5490,Welte,Martin,J,,Police Officer,C361A,Advanced Training,A,,,,,,
5490,5490,Welte,Martin,J,,Police Sergeant,,Community Outreach - Outreach Squa~,,,,,"Welte, Martin J",A311A,J
5491,5491,Jackson,Lawrence,B,J,r Police Officer,,North Pct,1St W - Lincoln,,B121L,,,,
5491,5491,Jackson,Lawrence,B,Jr,Police Officer,,North Pct,1St W - Lincoln,,,B121L,,,
5491,5491,Jackson,Lawrence,B,J,r Police Officer,,North Pct,1St W - Lincoln,B121L,,,,,
5491,5491,Jackson,Lawrence,B,Jr,Police Officer,B121X,North Pct 1St W, Unavail Personn,,,,,,
5491,5491,Jackson,Lawrence B,J,,Police Officer,,North Pct 1St W - Lincoln,,,,,"Jackson, Lawrence B Jr",B121L,Jr
5494,5494,Crooks,Danni,K,,Police Officer,,Traf - Pm Enforcement,,,,B631P,,,
5494,5494,Crooks,Danni,K,,Police Officer,,Traf - Pm Enforcement,,,B631P,,,,
5494,5494,Crooks,Danni,K,,Police Officer,,Pm Enforcement,,C631P,,,,,
5494,5494,Crooks,Danni,K,,Police Officer,B631P,Pm Enforcement,,,,,,,
5494,5494,Crooks,Danni,K,,Police Officer,,Traf - Pm Enforcement,,,,,"Crooks, Danni K",B631P,K
5495,5495,Leslie,Donald,M,,Police Sergeant,,Hr - Department Unavailable Person,,,,A810X,,,
5495,5495,Leslie,Donald,M,,Police Sergeant,,West Pct,1St W - K/Q (Early),,B111K,,,,
5495,5495,Leslie,Donald,M,,Police Officer,,North Pct,1St W - John,B121J,,,,,
5495,5495,Leslie,Donald,M,,Police Officer,B121J,North Pct 1St W    John,,,,,,,
5497,5497,Devore,Timothy,A,,Police Officer Detective,,Homicide Squad A,,,,B711A,,,
5497,5497,Devore,Timothy,A,,Police Officer Detective,,Homicide Squad A,,,B711A,,,,
5497,5497,Devore,Timothy,A,,Police Officer Detective,,Homicide Squad A,,B711A,,,,,
5497,5497,Devore,Timothy,A,,Police Officer Detective,B711A,Homicide Squad A,,,,,,,
5497,5497,Devore,Timothy,A,,Police Officer Detective,,Homicide Squad A,,,,,"Devore, Timothy A",B711A,A
5500,5500,Pfaff,Tawnia,Maenell,,Police Officer,,Navigation Team - Squad A,,,,A312N,,,
5500,5500,Pfaff,Tawnia,M,,aenell Police Officer Detective,,Dv Squad B - Special Units,,,B721B,,,,
5500,5500,Pfaff,Tawnia,M,,aenell Police Officer Detective,,Dv Squad A - Investigations,,B721A,,,,,
5500,5500,Pfaff,Tawnia,Maenell,,Police Officer Detective,B721A,Dv Squad A, Investigations,,,,,,
5500,5500,Pfaff,Tawnia,M,,Police Officer,,Southwest Pct Ops - Burg/Theft,,,,,"Pfaff, Tawnia Maenell",B259D,Maenell
5501,5501,Larkin,Neil,P,,Police Sergeant,,Southwest Pct,3Rd W - Frank,,B253F,,,,
5501,5501,Larkin,Neil,P,,Police Sergeant,,Southwest Pct,1St W - William,B251W,,,,,
5501,5501,Larkin,Neil,P,,Police Sergeant,B242E,East Pct 2Nd W, Edward,,,,,,
5502,5502,Baily,Anthony,T,,Police Sergeant,,West Pct Ops - Sea Ctr,,,,B119I,,,
5502,5502,Baily,Anthony,T,,Police Sergeant Detective,,West Pct Ops - Sea Ctr,,,B119I,,,,
5502,5502,Baily,Anthony,T,,Police Sergeant,,West Pct Ops - Sea Ctr,,B119I,,,,,
5502,5502,Baily,Anthony,T,,Police Sergeant,B1191,West Pct Ops, Sea Ctr,,,,,,
5502,5502,Baily,Anthony,T,,Police Sergeant,,West Pct Ops - Sea Ctr,,,,,"Baily, Anthony T",B119I,T
5503,5503,Benson,Louise,F,,Parking Enfor Officer,,Parking Enforcement - P,8 Squad,,B637H,,,,
5503,5503,Benson,Louise,F,,Parking Enfor Officer,,Parking Enforcement - P,8 Squad,,,B637H,,,
5503,5503,Benson,Louise,F,,Parking Enfor Officer,,Parking Enforcement - P,11 Squad,C637K,,,,,
5503,5503,Benson,Louise,F,,Parking Enfor Officer,B641 D,Parking Enforcement, P4 Squad,,,,,,
5506,5506,Troyer-Merkel,Marian,M,,anager Iii,,Human Resources - Dept Unavail P,,C320X,,,,,
5506,5506,Troyer-Merkel,Marian,,,Manager Iii,C140,Budget And Finance,,,,,,,
5511,5511,Knight,John,P,,Police Officer,,Training - Advanced - Squad B,,,C121B,,,,
5511,5511,Knight,John,P,,Police Officer,,Advanced Training - Squad B,,A561B,,,,,
5511,5511,Knight,John,P,,Police Officer    C.361A,Advanced Training - A,,,,,,,,
5514,5514,Ellis,Randy,R,,Police Officer Detective,,East Pct Ops - Burg/Theft,,,,B249D,,,
5514,5514,Ellis,Randy,R,,Police Officer,,East Pct,2Nd W - Charlie,,B242C,,,,
5514,5514,Ellis,Randy,R,,Police Officer,,East Pct,2Nd W - T/Relief Squad,B242T,,,,,
5514,5514,Ellis,Randy,R,,Police Officer,B242C,East Pct 2Nd W    Charlie,,,,,,,
5514,5514,Ellis,Randy,R,,Police Officer Detective,,East Pct Ops - Burg/Theft,,,,,"Ellis, Randy R",B249D,R
5515,5515,Lee,Caryn,B,,Police Sergeant,A100E,Eeo,,,,,,,
5516,5516,Burk,Robert,C,,Police Officer,,Comm - Internet And Telephone Rep,,,,C312R,,,
5516,5516,Burk,Robert,C,,Police Officer,,Hr - Human Resources - Dept Unava,,,C020X,,,,
5516,5516,Burk,Robert,C,,Police Officer,,North Pct,2Nd W - Union,B122U,,,,,
5516,5516,Burk,Robert,C,,Police Officer,C502X,Quartermaster, Unavail Personnel,,,,,,
5516,5516,Burk,Robert,C,,Police Officer,,Comm - Internet And Telephone Repo~,,,,,"Burk, Robert C",C312R,C
